기준_년분기_코드,업종,총 매출 금액
20191,요식업,6008555047787
20191,서비스업,4737147319034
20191,판매업,12939195472899
20192,요식업,6481667488743
20192,서비스업,4977837935842
20192,판매업,13226181792895
20193,요식업,6580376420742
20193,서비스업,5006864977886
20193,판매업,13400362563624
20194,요식업,7202289198367
20194,서비스업,5345261861572
20194,판매업,14254865074284
20201,요식업,6126806278029
20201,서비스업,4739492759974
20201,판매업,13436182368443
20202,요식업,6714069815393
20202,서비스업,5048492573792
20202,판매업,14569892672764
20203,요식업,6483857401021
20203,서비스업,5068200607520
20203,판매업,14275653089711
20204,요식업,6067085417198
20204,서비스업,5022485787020
20204,판매업,14502114599268
20211,요식업,5544484616429
20211,서비스업,4981236335685
20211,판매업,13886340280235
20212,요식업,6767955749096
20212,서비스업,5496922304273
20212,판매업,14623847077632
20213,요식업,6132174582759
20213,서비스업,5446665700330
20213,판매업,15351292618151
20214,요식업,7663057778943
20214,서비스업,5921132396752
20214,판매업,16007108042049
20221,요식업,6622503806478
20221,서비스업,5526049239071
20221,판매업,15341570084878
20222,요식업,9272744602724
20222,서비스업,6248391711615
20222,판매업,15634369361739
20223,요식업,9311302598581
20223,서비스업,6367699773532
20223,판매업,16095856061335
20224,요식업,9903093761687
20224,서비스업,6531752844743
20224,판매업,16604118612077
20231,요식업,9464866856119
20231,서비스업,6619515600191
20231,판매업,15968592734357
20232,요식업,10062621674770
20232,서비스업,6870183888867
20232,판매업,16485766947479
20233,요식업,9721313019088
20233,서비스업,6827847523457
20233,판매업,16510044570316
20234,요식업,9657891872902
20234,서비스업,6908716393025
20234,판매업,16390491331327
