기준_년분기_코드,금천구,중랑구,관악구,구로구,용산구,노원구,동작구,영등포구,동대문구,종로구,성북구,서대문구,서초구,은평구,송파구,성동구,강북구,강서구,도봉구,광진구,마포구,강동구,강남구,양천구,중구
20191,1164181482463,1051898317704,1235641548842,758366171832,1382042396545,457095880755,819919174200,1391621193162,1234207828723,602522170473,782579917324,662054405994,864053685993,887204926426,1127610911470,708853863283,746894985441,1111639064449,510986631397,959261070468,1028712759026,929578133110,2169830805912,610248192281,487892322447
20192,1048919430611,1124780752634,1324817076019,830147353811,1336319606717,488956856065,840893847396,1420113266913,1289253206872,619158081678,848747724170,713424264678,925582703587,938027975302,1223907873984,730423721193,823137367907,1180158914750,520368312802,1003664431802,1109241253305,995131910567,2180511113444,644325139255,525675032018
20193,1191525933764,1147311163813,1303121436025,864892748089,1321593016331,487317142603,854736386872,1482079898287,1307584874840,613862208291,833858018597,720561696135,888787716646,941762810618,1241230687936,726977286698,810616826139,1185273680757,540984367565,1021672391876,1099206039402,1006562898385,2234132017515,644572441790,517380273278
20194,1180045819333,1227903665133,1406399186970,884689743466,1471911281590,528582173576,897411392875,1474140461396,1461837671288,698179960781,906664559814,782347823091,998119396744,998154703445,1313721664276,813439464671,877037240994,1260223184346,557835980469,1136599909127,1192829958051,1078532781674,2389435314650,685759778721,580613017742
20201,1214332238624,1134853439607,1242392322530,785138251853,1247871749775,482433400369,858679747773,1414083239334,1302159631172,547161228946,802508051185,711289916710,890058355902,945568826840,1206070316204,697706894819,796473707150,1216785867262,524109985070,1019410385909,1054243672417,1026914239482,2082519281141,632001754903,467714901469
20202,1198994279240,1253556897266,1377807827048,870275478749,1217598901006,538349546159,906366940101,1495625076712,1490128773823,582507328106,894778416515,780300108013,932638938973,1063779031195,1352553796980,752815751773,900466094151,1298078229772,582452389676,1126124399459,1143455458242,1146571091847,2199909797151,701379394903,525941115089
20203,1287238138300,1223148378012,1313422379925,854943844552,1163429880776,508969971469,889364919388,1584065645791,1487067533345,539182056820,841239773893,758622970625,903898905967,1025881490696,1318622853421,715312434431,861453052976,1260944357730,574311407878,1066993255263,1145788970885,1082835646871,2250878215250,679340693381,490754320607
20204,1194700386690,1194068821608,1281185086219,908115751194,1204111667751,505685216211,868082197243,1489738042572,1434468537205,590783845021,846454451975,746351178306,911509764955,1008426062110,1298883213372,735595566959,851547642886,1227338506980,577915245511,1072485805457,1123217246544,1067943970497,2293503565187,666156352737,493417678296
20211,1289505729709,1134816776124,1194520734974,831918663296,1029284989162,478559358878,833931859238,1468042280470,1418958947690,561318225663,789669243167,706359448160,897258152117,946903429373,1271457510708,673229434297,784759979820,1197976459078,554693242993,984234008284,1062971863174,1049052707176,2160010864722,643074748060,449552576016
20212,1229160890713,1279270995897,1373182968124,935232670268,1171011501230,535572218309,912239513292,1579302746613,1513005452437,630297716215,892759392019,796888139840,1002157941740,1049748533351,1399768551591,765845930705,865229432318,1300054105457,598719501785,1083154527384,1228865218373,1150541648408,2364396809546,712667978228,519650747158
20213,1364172019192,1304034724221,1326535321787,927940120250,1116775528879,535655087813,923909536705,1650976264501,1642425324526,590675907555,892068948370,792795979121,963835844615,1052952764882,1370217583608,733968344724,882752669105,1316173685477,614010232824,1060343573198,1188849415331,1148109724650,2308315970196,731074259156,491564070554
20214,1420262454214,1372339001424,1482224597681,973098840234,1351526755323,589812382103,976097411605,1692085917153,1722395411835,731127850738,993916586610,888289920257,1076315998056,1127530517587,1515904922693,829072773102,968586121124,1407536839577,656368460356,1221720108989,1390438032344,1229395310761,2637340260761,763400559957,574511183260
20221,1395535596533,1267636094170,1354403746896,914397715603,1221446864672,547910150488,925659564788,1644495269440,1589404798131,621084667174,908040821601,796684678389,1005359586743,1045746576072,1419466353032,773856059549,897157325586,1343236165918,606945842664,1102927788742,1241786065199,1152235209486,2457479010151,734151353219,523075826181
20222,1342027196186,1449688128980,1583978429823,1008696056371,1369056335875,638535648392,1036300484712,1816050218609,1756987070150,805490503097,1093569094721,934468203669,1149543927519,1185293516196,1610538419786,904353108128,1051587821001,1504171839950,665433779078,1280461356661,1479205343133,1304449302129,2717468039602,854596851960,613555000350
20223,1477432268034,1456091674512,1578970937187,1051785660930,1407003581508,646219098270,1058047935154,1904263833180,1858820744059,764191156157,1106651748550,956106367243,1152512005739,1197228107901,1586532690097,899329569739,1075815820403,1527827009467,683770848975,1278104848301,1519909311738,1336248431830,2756852518129,878442613555,616699652790
20224,1504469475414,1496288953667,1655318452127,1108314505560,1371063726579,684862891547,1092683988966,1869940799675,1891212757474,888334261822,1162632121197,1022297681405,1169766729439,1226156767262,1683956489087,1042462633579,1113579911642,1588618957311,709586574937,1336077890564,1582797068911,1370667391614,2920137122263,890104501817,657633564648
20231,1485147382592,1467540338629,1592961796573,1059199768232,1252408065206,669062128414,1084304057484,1879756220549,1872545932096,790968845406,1116688442475,987479628777,1189530076237,1220921702049,1640460284573,1014816632277,1062034106400,1586948587064,685791583054,1291813650607,1491400975104,1320506736178,2780327528207,872268190848,638092531636
20232,1378139839939,1583880306761,1655611505240,1135720204672,1384972854633,715011633402,1147197581292,1894811827840,2002827787009,856595579681,1191161125067,1063453880779,1244205587793,1293013626720,1719542037230,1039521355822,1112934575928,1627667395714,719393479984,1371103118301,1551450179767,1377495584021,2765830390732,914437321835,672593730954
20233,1506037585008,1487628981627,1569422390828,1118760279864,1344226344995,711458971554,1121778153201,1917991615140,2009806332471,781133827483,1143538183753,1095587299216,1176889163930,1281598261075,1663414036673,1013243968635,1120115320451,1612562695860,722776110359,1350747455158,1575969043234,1360668455152,2789408399192,918484387423,665957850579
20234,1390394208539,1451543740343,1568234922634,1153546436164,1363555723793,707524599069,1101941279982,1854089619552,2035077872456,830440108994,1158309529189,1055547644137,1189469671902,1246176645348,1683724455389,1054700580408,1101392513422,1613157557113,739202814851,1333992456607,1565741860996,1318652788034,2875006707359,886233527981,679442332992
