기준_년분기_코드,업종,상권_코드,남성_매출_건수,여성_매출_건수
20191,요식업,강남구,10104528,9811972
20191,요식업,강동구,6004876,5175984
20191,요식업,강북구,4372044,3739571
20191,요식업,강서구,6656721,5898168
20191,요식업,관악구,8937600,6994337
20191,요식업,광진구,6298142,5229256
20191,요식업,구로구,4798557,3955146
20191,요식업,금천구,3279379,2669406
20191,요식업,노원구,3719791,3064758
20191,요식업,도봉구,2525551,2228884
20191,요식업,동대문구,6517860,5387341
20191,요식업,동작구,6087567,5375429
20191,요식업,마포구,7510865,8034575
20191,요식업,서대문구,4836950,5166088
20191,요식업,서초구,4623805,4145579
20191,요식업,성동구,4310654,3172332
20191,요식업,성북구,6341745,6363922
20191,요식업,송파구,5928813,5153920
20191,요식업,양천구,3928575,3256888
20191,요식업,영등포구,6644988,5709844
20191,요식업,용산구,6355697,6320700
20191,요식업,은평구,5357001,4987661
20191,요식업,종로구,3986317,4500846
20191,요식업,중구,3399440,3303287
20191,요식업,중랑구,6194242,5258680
20191,서비스업,강남구,2214393,2024425
20191,서비스업,강동구,3631329,2830046
20191,서비스업,강북구,2407934,2263831
20191,서비스업,강서구,4087759,3529401
20191,서비스업,관악구,6008706,4217651
20191,서비스업,광진구,3063919,2720110
20191,서비스업,구로구,3189838,2763229
20191,서비스업,금천구,2620068,2137963
20191,서비스업,노원구,1949422,1511376
20191,서비스업,도봉구,1796856,1788793
20191,서비스업,동대문구,2814504,1913670
20191,서비스업,동작구,3153115,2758765
20191,서비스업,마포구,2087217,2311916
20191,서비스업,서대문구,1767995,1668725
20191,서비스업,서초구,1649542,1404838
20191,서비스업,성동구,4261732,1865155
20191,서비스업,성북구,3819007,3537807
20191,서비스업,송파구,3443535,2744460
20191,서비스업,양천구,2310059,2134118
20191,서비스업,영등포구,2540741,2040808
20191,서비스업,용산구,1265974,1272380
20191,서비스업,은평구,3601030,2897857
20191,서비스업,종로구,831970,599585
20191,서비스업,중구,834586,748027
20191,서비스업,중랑구,4064555,3417650
20191,판매업,강남구,18706548,18118933
20191,판매업,강동구,11427259,10941204
20191,판매업,강북구,10181335,10048092
20191,판매업,강서구,15986729,15587405
20191,판매업,관악구,19362203,17859390
20191,판매업,광진구,13951087,12237183
20191,판매업,구로구,12051368,10186591
20191,판매업,금천구,10866036,10478773
20191,판매업,노원구,6053235,5488481
20191,판매업,도봉구,7370252,6687212
20191,판매업,동대문구,15690687,13330598
20191,판매업,동작구,11611253,11267689
20191,판매업,마포구,13879321,15925011
20191,판매업,서대문구,8700991,8930793
20191,판매업,서초구,6741661,6493011
20191,판매업,성동구,17129116,20169515
20191,판매업,성북구,10562818,10327557
20191,판매업,송파구,12567501,11223663
20191,판매업,양천구,7924668,7074948
20191,판매업,영등포구,18681608,16844513
20191,판매업,용산구,10964108,9761107
20191,판매업,은평구,12738968,12977900
20191,판매업,종로구,7111400,6425279
20191,판매업,중구,5708701,5454409
20191,판매업,중랑구,14353278,14560713
20192,요식업,강남구,10934059,10571100
20192,요식업,강동구,6585747,5819075
20192,요식업,강북구,4796301,4270940
20192,요식업,강서구,7406063,6725959
20192,요식업,관악구,9849140,7864441
20192,요식업,광진구,7242640,6179897
20192,요식업,구로구,5234590,4364765
20192,요식업,금천구,3523013,2940985
20192,요식업,노원구,4264367,3657412
20192,요식업,도봉구,2765899,2551428
20192,요식업,동대문구,7700046,6778856
20192,요식업,동작구,6913466,6344274
20192,요식업,마포구,8330815,9205338
20192,요식업,서대문구,5630558,6361056
20192,요식업,서초구,5054461,4746104
20192,요식업,성동구,4921406,3885329
20192,요식업,성북구,7446335,8186708
20192,요식업,송파구,6654355,5906204
20192,요식업,양천구,4295812,3676828
20192,요식업,영등포구,7324456,6386884
20192,요식업,용산구,7011773,7697698
20192,요식업,은평구,5833655,5745019
20192,요식업,종로구,4469622,5246993
20192,요식업,중구,3762163,3847103
20192,요식업,중랑구,6756137,6014593
20192,서비스업,강남구,2383719,2194426
20192,서비스업,강동구,3839137,3012086
20192,서비스업,강북구,2589196,2585004
20192,서비스업,강서구,4418529,3933995
20192,서비스업,관악구,6321164,4565971
20192,서비스업,광진구,3445325,3078235
20192,서비스업,구로구,3492522,3119482
20192,서비스업,금천구,2699392,2339982
20192,서비스업,노원구,2121568,1676821
20192,서비스업,도봉구,1942091,1993468
20192,서비스업,동대문구,3112418,2140916
20192,서비스업,동작구,3460856,3082245
20192,서비스업,마포구,2276163,2645298
20192,서비스업,서대문구,1968960,1893519
20192,서비스업,서초구,1810679,1617733
20192,서비스업,성동구,4532833,2039695
20192,서비스업,성북구,4376887,4147564
20192,서비스업,송파구,3897698,3195059
20192,서비스업,양천구,2554573,2383079
20192,서비스업,영등포구,2892605,2316705
20192,서비스업,용산구,1397271,1474250
20192,서비스업,은평구,3741991,3181754
20192,서비스업,종로구,916246,704094
20192,서비스업,중구,903326,849509
20192,서비스업,중랑구,4379653,3901636
20192,판매업,강남구,20508755,19813477
20192,판매업,강동구,12861195,12245359
20192,판매업,강북구,11609631,11481285
20192,판매업,강서구,18156387,17485397
20192,판매업,관악구,22054054,20513357
20192,판매업,광진구,16386122,14326149
20192,판매업,구로구,13796016,11859604
20192,판매업,금천구,11360739,10838108
20192,판매업,노원구,6892541,6247923
20192,판매업,도봉구,8162950,7476949
20192,판매업,동대문구,18266757,15664457
20192,판매업,동작구,13024223,12715819
20192,판매업,마포구,16252881,18650340
20192,판매업,서대문구,10181279,10520084
20192,판매업,서초구,7426526,7311933
20192,판매업,성동구,25519970,33968492
20192,판매업,성북구,12530438,12588241
20192,판매업,송파구,15470210,14618085
20192,판매업,양천구,8997920,8034806
20192,판매업,영등포구,20780730,18358091
20192,판매업,용산구,12236707,11240890
20192,판매업,은평구,14384978,14459106
20192,판매업,종로구,8103610,7544753
20192,판매업,중구,6450454,6287199
20192,판매업,중랑구,15957025,16204225
20193,요식업,강남구,11423766,11049301
20193,요식업,강동구,7091940,6169958
20193,요식업,강북구,4944654,4326705
20193,요식업,강서구,7921927,7197656
20193,요식업,관악구,10149935,8146974
20193,요식업,광진구,7167466,6029537
20193,요식업,구로구,5361161,4373255
20193,요식업,금천구,3667496,3018063
