지역구,업종,남성_p-value,여성_p-value,20241남자_건수,20242남자_건수,20243남자_건수,20244남자_건수,20241여자_건수,20242여자_건수,20243여자_건수,20244여자_건수
강남구,요식업,0.8850361634077928,0.9746813178523696,13013142.775478136,12994358.961708449,12984617.404168438,12979565.291510759,12038624.699727591,12031597.358603166,12028949.77505809,12027952.285608804
강남구,서비스업,0.9122691091437837,0.8900968240506857,2660353.8748072158,2660102.755440851,2660034.957109344,2660016.652612078,2745881.092814237,2746357.9187180637,2746490.8722868217,2746527.9437867207
강남구,판매업,0.9631638974934381,0.02019884264989969,23512202.112289686,23507845.913940586,23507738.65858191,23507736.017813273,19649776.598111197,19726386.25764037,19656936.24732177,19719895.722182997
강동구,요식업,0.013418672713137944,0.9198199795661033,9010579.930345627,9054305.323195277,9094957.50604188,9132752.477395853,6821736.735095959,6804704.489324814,6799152.414200573,6797342.5801599305
강동구,서비스업,0.8480631769173194,0.007049061505188035,3964606.514704473,3961228.46099432,3959903.0336921085,3959382.98348445,3419249.970588873,3380190.945398627,3416400.2946918183,3382832.714091682
강동구,판매업,0.8767949525885778,0.9955265784579069,17929582.69099269,17943711.134942118,17942477.763419647,17942585.433119006,15608256.481495347,15592783.684654238,15590959.940851549,15590744.980266724
강북구,요식업,0.031211129651031896,0.005441265944018761,6640319.034645893,6723318.049001249,6805581.618027959,6887116.258427886,5553697.41053306,5623450.756839592,5693203.038935833,5762954.256838018
강북구,서비스업,0.5116678243639099,0.03169823337798357,3491526.0045947614,3490295.5625746674,3489534.7630467755,3489064.350047066,3059437.586520108,3015181.299687027,3055865.8526033266,3018464.7743736478
강북구,판매업,0.002611831846888855,6.728343213952048e-06,16254125.311432874,16359571.688438265,16282095.187523423,16339020.881553674,14426109.882180609,14496076.768326448,14560538.762372138,14619928.981163425
강서구,요식업,0.0024750473125693573,0.8055547647687658,10364004.067427581,10473052.025994686,10578649.615461638,10680906.008407949,8377548.479068611,8360273.616533749,8352566.768547918,8349128.506405059
강서구,서비스업,0.001698243622576776,0.003628752449600798,5450359.699581104,5394085.534140071,5445441.221807166,5398574.126842891,4731822.06674136,4655308.043642205,4725723.254322989,4660920.7293166425
강서구,판매업,0.8756364091186563,0.87074452271687,23055694.979345504,23060999.503443852,23060830.95809129,23060836.31343238,20939472.062487118,20945522.082834907,20945039.692993954,20945078.155667678
관악구,요식업,0.02367728953805156,0.7878359050523718,12306031.075586341,12388268.312757848,12467201.974580418,12542964.769915164,9725930.041826598,9710664.063304266,9702591.654648717,9698323.092276063
관악구,서비스업,0.7573793556356971,0.00627387025364156,7057598.13227067,7055938.242801558,7055204.46647486,7054880.090841637,5435956.499235147,5364354.616017764,5430974.456203193,5368990.0096089905
관악구,판매업,0.6803584420513693,0.020103749063778376,23474579.860917725,23516978.186506886,23507146.49498948,23509426.352902506,20306279.731781922,20178332.269571483,20289450.353887696,20192948.02043932
광진구,요식업,0.7044416960264597,0.34965839618325123,8711443.554542053,8725684.716160169,8715678.981930584,8722708.936379366,7323839.793459732,7370232.12728534,7334143.70741756,7362216.751844446
광진구,서비스업,1.060431725025591e-06,0.00041215786078341733,4431304.423083243,4374299.320487476,4428002.163012367,4377410.283269528,3728420.778245854,3676470.6449071234,3725645.734347957,3679097.4530231203
광진구,판매업,0.011179622934797559,0.3647982368943147,20477402.638362035,20199800.752978183,20430345.052088886,20238881.389012706,17262311.072555497,17265826.245222945,17264403.663816307,17264979.37888068
구로구,요식업,0.008883959811892914,0.9952803073553922,6994401.813383335,7067826.065607191,7139812.475836674,7210389.200839312,5575732.5082359295,5574665.893176526,5574480.105764902,5574447.744547035
구로구,서비스업,0.6218808233347061,0.0002454248392528398,4037179.545303576,4039887.2480782266,4041021.3811025233,4041496.4176275227,3580978.9467701083,3508951.8242420587,3574718.137821547,3514668.4252962233
구로구,판매업,0.00012550592184150362,0.5261618685719941,17742684.365793876,17751970.951176587,17744806.69725479,17750333.651688606,15022266.109157521,15038666.120118205,15033515.97992046,15035133.292501532
금천구,요식업,0.05946783609905201,0.029122199105141057,4629748.603648463,4679674.588914106,4729268.183574829,4778531.60057673,3608520.9769906607,3643119.4727827213,3677699.497242864,3712261.060232504
금천구,서비스업,0.9288451008632831,0.0006811276102728418,3133826.665342624,3134022.192482118,3134097.351646848,3134126.2422656007,2852022.1744583864,2806395.975467341,2848787.085650728,2809401.6829146217
금천구,판매업,0.0037506232684102864,2.7570673738347573e-06,16047431.804946974,16071071.612831844,16092188.77712297,16111052.493354091,14787995.470724894,14423784.484912243,14786714.506982053,14425060.943387054
노원구,요식업,0.6048995790824978,0.47651046459260604,5714678.248554267,5724543.025930828,5717707.149857825,5722444.124642121,4883870.874596895,4911167.899106872,4889620.043556545,4906629.592661358
노원구,서비스업,0.7993772793530582,0.0009092292542078281,2421038.377705697,2421529.681389246,2421682.901349511,2421730.6851480245,2196735.886971717,2157232.774239171,2193514.19100201,2160191.7231946993
노원구,판매업,0.0009274437968042741,0.5345166618705457,8861523.782922707,8901551.573391218,8938392.115274277,8972299.19608867,7774066.681187871,7775928.426659087,7775062.8371887645,7775465.279489668
도봉구,요식업,0.022273920043036546,0.026804453156261066,4306443.325022783,4375719.0561658535,4444433.773760936,4512592.021046996,3779516.1282735574,3842218.338092312,3904788.9064152865,3967228.1096200347
도봉구,서비스업,3.449479059703477e-06,0.025759054634052758,2417191.014628244,2386437.1389344977,2415103.8394722757,2388382.6636469555,2480559.176589628,2445646.87914495,2478098.8289356246,2447933.8405992016
도봉구,판매업,0.8316876823001027,0.9173905356515752,10217953.01337087,10227325.179547809,10225463.584012473,10225833.353164209,9390436.056302622,9379171.957403177,9375977.996324642,9375072.341335079
동대문구,요식업,0.3757686224549166,0.026239416256693352,9107153.696484303,9165865.27868181,9120050.794455284,9155801.269683179,7397919.668107789,7594951.510161465,7423762.049389264,7572498.574277934
동대문구,서비스업,0.8409781140951781,0.0030503177711693006,3033005.807931076,3027521.8128430042,3025714.3812080175,3025118.6824404793,2576789.929844835,2542050.6921628146,2574439.766424456,2544241.863375217
동대문구,판매업,0.010234671371449068,0.0026647166960878984,27866569.276289154,28389693.339628007,28910830.763329983,29429989.09194775,25477549.55977392,26028616.293665975,26578882.366672315,27128348.942096423
동작구,요식업,0.8781416361575461,0.9723632045421299,7941072.909907891,7936695.398558255,7934814.884701854,7934007.043880513,7634090.074607069,7631574.088656138,7630934.541978022,7630771.973521177
동작구,서비스업,0.6530243151717539,0.011401000569352447,3891894.6108226697,3893641.1729690484,3894330.763318075,3894603.032387032,3729782.4424869847,3668687.436967786,3724952.6022971934,3673135.4561550138
동작구,판매업,0.973496970808037,0.924304903164402,15108321.377392864,15106972.742321657,15106941.784070075,15106941.073415753,14929160.896961322,14934862.300594121,14934253.677690258,14934318.647978798
마포구,요식업,0.7820546363220566,0.5950128514649247,10978116.334241528,10985127.711633205,10980455.503443267,10983568.947229084,12594675.8062765,12634259.076917635,12605445.407184206,12626419.610428654
