지역구,업종,p-value,20241,20242,20243,20244
강남구,요식업,0.47981968838902345,852940514447.9463,853831057569.8728,853312302414.3566,853614485323.5823
강남구,서비스업,0.0022686663552532647,725321445917.3284,737201368357.0775,749069407707.4061,760925575854.5714
강남구,판매업,0.9612038035667697,1301368044031.5862,1302334775191.7258,1302171950656.2507,1302199374856.9446
강동구,요식업,0.6246406523446606,395920230789.2238,395482202701.6798,395753047258.4389,395585576778.77783
강동구,서비스업,0.0019066001291527337,321348006881.5027,319313419744.2367,321196447526.0298,319453689222.8541
강동구,판매업,0.008201500830747319,609511926071.4445,605007706846.3088,608893832009.7925,605540982596.5168
강북구,요식업,0.5191225378685642,324939558896.4423,325809889032.6638,325202692845.04333,325626310498.7551
강북구,서비스업,0.00012383223010805998,236145930296.9994,234404306751.64658,236000332034.87357,234537733121.63724
강북구,판매업,0.012109987396164743,548887038463.9547,541770332219.1224,548159567910.42236,542423440646.6865
강서구,요식업,0.555045154916959,440871704834.62286,441266347661.3266,441011642520.8862,441176030935.3638
강서구,서비스업,0.9838128277128473,422219860401.6025,422194111678.4513,422210030521.2059,422200188885.4417
강서구,판매업,0.00013414017640349895,748522118563.1013,749211144354.3418,748723743721.6482,749068519461.2072
관악구,요식업,0.43264480103586744,482120331284.9087,483940068741.06525,482703027118.8386,483543957204.62866
관악구,서비스업,0.9635786886078932,404481666771.3303,404543151837.9052,404528376672.27454,404531927217.66016
관악구,판매업,1.1502864306716265e-07,689153049246.9309,679299960851.9481,688587661941.0436,679832905253.3527
광진구,요식업,0.20146122228909846,407218736518.2322,409706406678.1951,407985910220.09033,409175822013.8609
광진구,서비스업,0.8117185507085605,285887980493.49713,285854821901.37964,285868322105.34534,285862825626.2889
광진구,판매업,1.3602500043167763e-05,644026150586.6241,637843309767.4077,643586716129.0549,638251512199.417
구로구,요식업,0.5559063801971582,282736156728.5715,282902363204.10626,282807429905.0405,282861653612.2848
구로구,서비스업,0.884191825743768,246835552078.57205,246934604950.85385,246901958703.67374,246912718386.1584
구로구,판매업,3.3659410789644747e-10,631317199305.0948,639016504248.0178,646488056186.1117,653738592277.0282
금천구,요식업,0.46087693824610443,224859120915.45532,224861425711.90738,224860040629.53232,224860873003.76825
금천구,서비스업,0.00027016944901875215,205079932792.42374,202655556518.29916,204938816633.1054,202788458700.83783
금천구,판매업,2.033433353872497e-20,1039431544937.1665,963910515121.0045,1038556813905.5801,964775114479.6055
노원구,요식업,0.2429981473801538,275590966879.1672,277147464295.4948,276058142559.10736,276820509288.9963
노원구,서비스업,0.5214135861513407,157187330597.52817,157326797147.9632,157243812211.2445,157293189640.4612
노원구,판매업,5.354730200422396e-11,271006103366.06738,272037571909.59305,271207531175.95737,271875479436.54077
도봉구,요식업,0.7784676266969592,175849500919.9816,175874650741.2942,175858856423.12787,175868775399.61835
도봉구,서비스업,4.064682492179889e-06,167813842740.59082,166211667094.99783,167730464338.1145,166290706423.90338
도봉구,판매업,7.54458075099547e-07,401688377119.69165,406116766312.3786,410475825861.9641,414766641174.2703
동대문구,요식업,0.20480299396739254,373870831091.6629,376902344313.1224,374720795903.07983,376290689589.0681
동대문구,서비스업,1.8700607366080956e-05,239730797294.8737,236960497330.2399,239505677942.6732,237167323095.68732
동대문구,판매업,2.887872146436394e-07,1418515733893.4976,1419913341476.6208,1418805524544.4365,1419683638236.759
동작구,요식업,0.24269595073554961,337302178083.0675,338915551153.10944,337858978713.4577,338550911249.6829
동작구,서비스업,0.004063152382187991,293325215921.67737,292273498770.8792,293216403100.1838,292371053593.8583
동작구,판매업,0.6746355189207484,470479234003.659,470219818246.0229,470367443166.0867,470283434711.0012
마포구,요식업,0.25614775183783756,572655156662.1278,575992497516.7069,573799023027.4196,575240688876.0106
마포구,서비스업,0.007717523542421011,311499055908.9869,309031170760.30676,311261293350.69037,309246026647.2138
마포구,판매업,0.034761451912148626,685546916786.6288,679778347562.6746,685055297590.6913,680228069119.1053
서대문구,요식업,0.14830080114784,343266502872.0518,346031534350.61566,344029756243.5048,345478967806.2569
서대문구,서비스업,0.02106865485776585,229299985201.7309,233864823713.08197,238427528487.88934,242988100523.52274
서대문구,판매업,0.00040289434434415393,490968997209.96045,498114315803.6607,505166023787.1551,512125347550.3139
서초구,요식업,0.1863181210832523,356105856616.4505,358487476405.9433,356963181612.7161,357938767483.6894
서초구,서비스업,0.0029543779841156876,306263754778.2469,311740192819.28046,317211536726.03125,322677791237.01794
서초구,판매업,0.0004117238284156085,539254573678.6493,530374600295.4772,537961001376.3314,531479734048.58777
성동구,요식업,0.14688654654726047,315888319410.5737,319345770200.86786,316762202106.0716,318692764391.7842
성동구,서비스업,0.9587541188731528,166926829071.59155,166968480792.50378,166961045832.55466,166962372995.71225
성동구,판매업,1.8874335828447547e-08,573227540787.6935,567382004799.6788,572891236980.1082,567698960466.8665
성북구,요식업,0.1108921191485085,390601248264.2435,395228899384.1309,391769848030.46594,394355400821.1402
성북구,서비스업,2.3034344700574792e-05,316344442047.3317,313609898940.9783,316163802306.67725,313778605896.2881
성북구,판매업,0.006553757312938138,453211429616.65326,448475134277.9795,452864470938.874,448796676397.98975
송파구,요식업,0.28496952156884836,471989714140.1161,475044196660.7574,472882451843.8846,474412380603.2396
송파구,서비스업,0.00603552151782914,456612781328.3397,451966843489.83,456160897805.18005,452374774914.27435
송파구,판매업,0.0006164695330191628,762327945815.8373,756387711705.8462,761922507553.427,756765477627.1361
양천구,요식업,0.6635125629338308,226417865302.06238,226492451370.57172,226444221484.43063,226475408567.53702
양천구,서비스업,0.9980619184734736,279474795007.3905,279475713538.76135,279475450987.61127,279475526034.70123
양천구,판매업,0.00044639697234586875,379740560831.9266,380133973935.63916,379812698524.1401,380075063679.3925
영등포구,요식업,0.3743002865246461,460555259709.49963,461225343280.5531,460812050741.4093,461066960323.2745
영등포구,서비스업,0.9893910461306161,272553567880.45126,272558414861.45767,272555337395.24585,272557291353.4463
영등포구,판매업,0.0026786595317006058,1155417673595.6575,1119964989863.6553,1155339587549.4917,1120042903921.9778
용산구,요식업,0.3853081531081227,512875622788.2488,517744394630.4685,514404764753.8062,516695512415.54315
용산구,서비스업,0.37516644667364873,122201922797.5236,122297809695.76384,122346882065.17445,122371996001.3197
용산구,판매업,0.8990840724127414,721540812265.5197,721540593894.2189,721540592105.1542,721540592090.4968
은평구,요식업,0.5319794488524643,366452701190.7405,366634808384.5635,366518481867.9905,366592788973.4591
은평구,서비스업,4.492177577169771e-05,314615853800.9247,319202023532.3406,323787942156.9973,328373609688.64374
은평구,판매업,0.004410923080606819,571101881814.8785,569611926721.9476,570923609705.5887,569768868695.1136
종로구,요식업,0.02111370811889303,334021516367.7939,342759191754.9986,336147371171.50543,341150552165.4253
종로구,서비스업,0.5228832447418531,81684283776.50325,81873013390.87878,81755869895.28075,81828580257.17245
종로구,판매업,0.19365992011059974,395938138123.1069,399284764563.9832,397672122235.67664,398449207854.5798
중구,요식업,0.08572065354684243,229174732723.4353,231438565556.108,229843024932.08194,230967555792.3893
중구,서비스업,0.0040283687406047625,84351648224.37308,83637237779.60228,84285943019.35146,83696899996.31299
중구,판매업,0.601289973524245,363211837653.473,363299766917.608,363272039931.0167,363280783161.07776
중랑구,요식업,0.45817024028647857,432857029020.2385,433893767663.10565,433189500892.3483,433667916245.92413
중랑구,서비스업,0.7342551718391246,311060814809.52686,311097170955.76794,311082662846.00824,311088452382.86957
중랑구,판매업,0.04352395741983693,705796332638.8269,705612628510.9487,705453663816.8729,705316106897.1973
