기준_년분기_코드,업종,상권_코드,총 매출
20191,요식업,강남구,537217062140
20191,요식업,강동구,249142285065
20191,요식업,강북구,202769098839
20191,요식업,강서구,288093723965
20191,요식업,관악구,312079444988
20191,요식업,광진구,263656348213
20191,요식업,구로구,184118203490
20191,요식업,금천구,156999651966
20191,요식업,노원구,166838471220
20191,요식업,도봉구,102785502010
20191,요식업,동대문구,251883414026
20191,요식업,동작구,220428459857
20191,요식업,마포구,336877895714
20191,요식업,서대문구,216874093142
20191,요식업,서초구,226561225617
20191,요식업,성동구,168323134618
20191,요식업,성북구,245429105062
20191,요식업,송파구,289725053247
20191,요식업,양천구,143437836664
20191,요식업,영등포구,274121748082
20191,요식업,용산구,322279096263
20191,요식업,은평구,229077005116
20191,요식업,종로구,195057800413
20191,요식업,중구,143206247782
20191,요식업,중랑구,281573140288
20191,서비스업,강남구,475110507502
20191,서비스업,강동구,237917039971
20191,서비스업,강북구,167954010604
20191,서비스업,강서구,295517283063
20191,서비스업,관악구,303658860692
20191,서비스업,광진구,209788671364
20191,서비스업,구로구,172253388505
20191,서비스업,금천구,137843801837
20191,서비스업,노원구,97104544134
20191,서비스업,도봉구,116242499897
20191,서비스업,동대문구,166704003298
20191,서비스업,동작구,214952323328
20191,서비스업,마포구,197897633999
20191,서비스업,서대문구,132737702289
20191,서비스업,서초구,188836770002
20191,서비스업,성동구,124500202271
20191,서비스업,성북구,205692966563
20191,서비스업,송파구,277094972157
20191,서비스업,양천구,193216613872
20191,서비스업,영등포구,181203535220
20191,서비스업,용산구,97495464589
20191,서비스업,은평구,217241751168
20191,서비스업,종로구,54304013892
20191,서비스업,중구,54086106864
20191,서비스업,중랑구,217792651953
20191,판매업,강남구,1157503236270
20191,판매업,강동구,442518808074
20191,판매업,강북구,376171875998
20191,판매업,강서구,528028057421
20191,판매업,관악구,619903243162
20191,판매업,광진구,485816050891
20191,판매업,구로구,401994579837
20191,판매업,금천구,869338028660
20191,판매업,노원구,193152865401
20191,판매업,도봉구,291958629490
20191,판매업,동대문구,815620411399
20191,판매업,동작구,384538391015
20191,판매업,마포구,493937229313
20191,판매업,서대문구,312442610563
20191,판매업,서초구,448655690374
20191,판매업,성동구,416030526394
20191,판매업,성북구,331457845699
20191,판매업,송파구,560790886066
20191,판매업,양천구,273593741745
20191,판매업,영등포구,936295909860
20191,판매업,용산구,962267835693
20191,판매업,은평구,440886170142
20191,판매업,종로구,353160356168
20191,판매업,중구,290599967801
20191,판매업,중랑구,552532525463
20192,요식업,강남구,558557842388
20192,요식업,강동구,263610696499
20192,요식업,강북구,220719085978
20192,요식업,강서구,308524527379
20192,요식업,관악구,334309846136
20192,요식업,광진구,284643961549
20192,요식업,구로구,195348787631
20192,요식업,금천구,164361091153
20192,요식업,노원구,178408942806
20192,요식업,도봉구,111947291293
20192,요식업,동대문구,279095700979
20192,요식업,동작구,238123570599
20192,요식업,마포구,359182465663
20192,요식업,서대문구,241287993787
20192,요식업,서초구,240608314363
20192,요식업,성동구,190827308478
20192,요식업,성북구,278099638859
20192,요식업,송파구,316435766654
20192,요식업,양천구,155640190677
20192,요식업,영등포구,293092949136
20192,요식업,용산구,353555826020
20192,요식업,은평구,244578594646
20192,요식업,종로구,212906121882
20192,요식업,중구,154560691713
20192,요식업,중랑구,303240282475
20192,서비스업,강남구,463007649952
20192,서비스업,강동구,247706551177
20192,서비스업,강북구,181201521086
20192,서비스업,강서구,306722405092
20192,서비스업,관악구,317795252419
20192,서비스업,광진구,216033914054
20192,서비스업,구로구,180339825219
20192,서비스업,금천구,154798632026
20192,서비스업,노원구,105579426108
20192,서비스업,도봉구,123917078426
20192,서비스업,동대문구,181522296200
20192,서비스업,동작구,226071755271
20192,서비스업,마포구,208295805484
20192,서비스업,서대문구,142898105995
20192,서비스업,서초구,195098739413
20192,서비스업,성동구,131708585210
20192,서비스업,성북구,216857601384
20192,서비스업,송파구,303949867122
20192,서비스업,양천구,198133918155
20192,서비스업,영등포구,190744545864
20192,서비스업,용산구,105744021459
20192,서비스업,은평구,232020319287
20192,서비스업,종로구,57696121185
20192,서비스업,중구,59383436652
20192,서비스업,중랑구,230610561602
20192,판매업,강남구,1158945621104
20192,판매업,강동구,483814662891
20192,판매업,강북구,421216760843
20192,판매업,강서구,564911982279
20192,판매업,관악구,672711977464
20192,판매업,광진구,502986556199
20192,판매업,구로구,454458740961
20192,판매업,금천구,729759707432
20192,판매업,노원구,204968487151
20192,판매업,도봉구,284503943083
20192,판매업,동대문구,828635209693
20192,판매업,동작구,376698521526
20192,판매업,마포구,541762982158
20192,판매업,서대문구,329238164896
20192,판매업,서초구,489875649811
20192,판매업,성동구,407887827505
20192,판매업,성북구,353790483927
20192,판매업,송파구,603522240208
20192,판매업,양천구,290551030423
20192,판매업,영등포구,936275771913
20192,판매업,용산구,877019759238
20192,판매업,은평구,461429061369
